,last_ip,city,region,country_name,latitude,longitude
0,186.29.111.19,Bogotá,Bogota D.C.,Colombia,4.6097,-74.0817
1,201.233.50.194,Santa Marta,Magdalena,Colombia,11.2408,-74.1990
2,181.33.205.130,Cúcuta,Norte de Santander,Colombia,7.8939,-72.5078
3,190.84.167.2,Valledupar,Cesar,Colombia,10.4631,-73.2532
4,181.131.79.21,Bucaramanga,Santander,Colombia,7.1254,-73.1198
5,186.154.195.59,Bogotá,Bogota D.C.,Colombia,4.6097,-74.0817
6,200.89.232.163,Pereira,Risaralda,Colombia,4.8133,-75.6961
7,186.146.66.22,Medellín,Antioquia,Colombia,6.2518,-75.5636
8,186.156.112.154,Talca,Maule Region,Chile,-35.4264,-71.6554
9,45.191.80.130,Barranqueras,Chaco,Argentina,-27.4813,-58.9393
10,189.203.38.15,Los Mochis,Sinaloa,Mexico,25.7654,-108.9999
11,201.233.0.111,Medellín,Antioquia,Colombia,6.2518,-75.5636
12,181.46.137.2,Buenos Aires,Buenos Aires F.D.,Argentina,-34.7083,-58.2917
13,181.46.137.2,Buenos Aires,Buenos Aires F.D.,Argentina,-34.7083,-58.2917
14,181.52.97.53,Santa Marta,Magdalena,Colombia,11.2408,-74.1990
15,181.54.0.60,Cali,Valle del Cauca,Colombia,3.4372,-76.5225
16,190.61.55.11,Maicao,La Guajira,Colombia,11.3832,-72.2432
17,181.136.58.29,Medellín,Antioquia,Colombia,6.2518,-75.5636
18,181.130.95.215,Medellín,Antioquia,Colombia,6.2518,-75.5636
19,181.53.20.25,Neiva,Huila,Colombia,2.9273,-75.2819
20,179.49.38.75,Santo Domingo de los Colorados,Santo Domingo de los Tsáchilas,Ecuador,-0.2530,-79.1754
21,186.86.52.77,Cali,Valle del Cauca,Colombia,3.4372,-76.5225
22,186.81.135.85,Manizales,Caldas,Colombia,5.0689,-75.5174
23,186.84.88.80,Bogotá,Bogota D.C.,Colombia,4.6357,-74.0733
24,181.234.88.217,Tuluá,Valle del Cauca,Colombia,4.0847,-76.1954
25,186.29.183.138,Barrio San Luis,Bogota D.C.,Colombia,4.6882,-74.0298
26,181.56.142.30,Cali,Valle del Cauca,Colombia,3.4372,-76.5225
27,186.155.64.98,Bogotá,Bogota D.C.,Colombia,4.7043,-74.1202
28,161.18.185.78,Bogotá,Bogota D.C.,Colombia,4.5625,-74.0887
29,181.51.32.193,Medellín,Antioquia,Colombia,6.2518,-75.5636
30,190.250.15.163,Medellín,Antioquia,Colombia,6.2518,-75.5636
31,186.154.38.203,Bogotá,Bogota D.C.,Colombia,4.5637,-74.1309
32,201.243.243.131,Caracas,Distrito Federal,Venezuela,10.4880,-66.8792
33,200.118.61.61,Bogotá,Bogota D.C.,Colombia,4.7043,-74.1202
34,186.154.36.154,Bogotá,Bogota D.C.,Colombia,4.5625,-74.0887
35,181.51.34.72,Villavicencio,Meta,Colombia,4.1420,-73.6266
36,181.59.142.74,Yopal,Casanare,Colombia,5.3377,-72.3959
37,201.221.172.15,Bogotá,Bogota D.C.,Colombia,4.6097,-74.0817
38,200.127.223.181,Bell Ville,Cordoba,Argentina,-32.6259,-62.6887
39,181.51.32.226,Medellín,Antioquia,Colombia,6.2518,-75.5636
40,181.53.12.165,Bogotá,Bogota D.C.,Colombia,4.6075,-74.1458
41,181.135.101.60,Medellín,Antioquia,Colombia,6.2518,-75.5636
42,181.134.3.172,Bogotá,Bogota D.C.,Colombia,4.6116,-74.1978
43,190.159.225.139,Bucaramanga,Santander,Colombia,7.1254,-73.1198
44,201.190.251.64,Mendoza,Mendoza,Argentina,-32.8908,-68.8272
45,190.27.19.68,Bogotá,Bogota D.C.,Colombia,4.5625,-74.0887
46,186.29.45.179,Bogotá,Bogota D.C.,Colombia,4.6292,-74.1301
47,181.59.70.87,Neiva,Huila,Colombia,2.9273,-75.2819
48,190.157.73.48,Bogotá,Bogota D.C.,Colombia,4.5625,-74.0887
49,181.55.51.135,Bogotá,Bogota D.C.,Colombia,4.6948,-74.1036
50,189.144.236.49,Mexico City,Mexico City,Mexico,19.4285,-99.1277
51,201.221.173.64,Bogotá,Bogota D.C.,Colombia,4.6357,-74.0733
52,201.221.173.64,Bogotá,Bogota D.C.,Colombia,4.6357,-74.0733
53,181.137.179.167,Medellín,Antioquia,Colombia,6.2518,-75.5636
54,186.87.113.218,Santa Marta,Magdalena,Colombia,11.2408,-74.1990
55,186.144.202.180,Armenia,Antioquia,Colombia,6.1564,-75.7872
56,181.62.52.153,Cali,Valle del Cauca,Colombia,3.4372,-76.5225
57,181.33.162.236,Cúcuta,Norte de Santander,Colombia,7.8939,-72.5078
58,45.191.80.130,Barranqueras,Chaco,Argentina,-27.4813,-58.9393
59,186.84.90.197,Bogotá,Bogota D.C.,Colombia,4.6097,-74.0817
60,157.100.171.253,Quito,Pichincha,Ecuador,-0.2298,-78.5250
61,181.60.220.31,Bogotá,Bogota D.C.,Colombia,4.6097,-74.0817
62,190.28.202.212,Medellín,Antioquia,Colombia,6.2518,-75.5636
63,181.174.23.227,Bucaramanga,Santander,Colombia,7.1254,-73.1198
64,186.117.189.122,Neiva,Huila,Colombia,2.9273,-75.2819
65,186.86.242.21,Algarrobo,Magdalena,Colombia,10.1869,-74.5753
66,186.117.189.122,Neiva,Huila,Colombia,2.9273,-75.2819
67,200.69.82.139,Calarcá,Quindío,Colombia,4.5295,-75.6409
68,170.245.158.2,Medellín,Antioquia,Colombia,6.2518,-75.5636
69,170.245.158.2,Medellín,Antioquia,Colombia,6.2518,-75.5636
70,190.26.35.103,Bogotá,Bogota D.C.,Colombia,4.6071,-74.1255
71,191.109.93.123,Bucaramanga,Santander,Colombia,7.1254,-73.1198
72,190.84.116.56,Barranquilla,Atlántico,Colombia,10.9685,-74.7813
73,190.84.116.56,Barranquilla,Atlántico,Colombia,10.9685,-74.7813
74,45.71.181.212,Florencia,Caquetá,Colombia,1.6144,-75.6062
75,190.24.182.200,Bogotá,Bogota D.C.,Colombia,4.6570,-74.1200
76,45.238.183.166,Bogotá,Bogota D.C.,Colombia,4.6097,-74.0817
77,200.69.82.90,Barrio San Luis,Bogota D.C.,Colombia,4.6882,-74.0298
78,190.128.93.174,Ibagué,Tolima,Colombia,4.4389,-75.2322
79,186.84.90.233,Bogotá,Bogota D.C.,Colombia,4.6097,-74.0817
80,190.159.90.62,Medellín,Antioquia,Colombia,6.2518,-75.5636
